OCR Preprocessing Sweep Results
============================================================
Failed pages tested: 50
Variants tested: 720
Total evaluations: 36000
Elapsed: 1699.3s

Rank Recovered  Wrong Failed  Variant
---- --------- ------ ------  ----------------------------------------
   1        23      0     27  none_blue_only_unsharp_1_03_none_dpi300
   2        23      0     27  none_blue_only_unsharp_1_03_close_2_dpi300
   3        23      0     27  none_blue_only_unsharp_1_03_open_1_dpi300
   4        23      0     27  none_blue_only_none_none_dpi300
   5        23      0     27  none_blue_only_none_close_2_dpi300
   6        23      0     27  none_blue_only_none_open_1_dpi300
   7        23      0     27  none_no_filter_none_none_dpi300
   8        23      0     27  none_no_filter_none_close_2_dpi300
   9        23      0     27  none_no_filter_none_open_1_dpi300
  10        22      0     28  none_blue_only_clahe_2_none_dpi300
  11        22      0     28  none_blue_only_clahe_2_close_2_dpi300
  12        22      0     28  none_blue_only_clahe_2_open_1_dpi300
  13        22      0     28  none_lum_only_none_none_dpi300
  14        22      0     28  none_lum_only_none_close_2_dpi300
  15        22      0     28  none_lum_only_none_open_1_dpi300
  16        22      0     28  none_no_filter_unsharp_1_03_none_dpi300
  17        22      0     28  none_no_filter_unsharp_1_03_close_2_dpi300
  18        22      0     28  none_no_filter_unsharp_1_03_open_1_dpi300
  19        22      1     27  none_lum_only_unsharp_1_03_none_dpi300
  20        22      1     27  none_lum_only_unsharp_1_03_close_2_dpi300
  21        22      1     27  none_lum_only_unsharp_1_03_open_1_dpi300
  22        19      0     31  none_sat_filter_unsharp_1_03_none_dpi300
  23        19      0     31  none_sat_filter_unsharp_1_03_close_2_dpi300
  24        19      0     31  none_sat_filter_unsharp_1_03_open_1_dpi300
  25        19      0     31  none_sat_filter_none_none_dpi300
  26        19      0     31  none_sat_filter_none_close_2_dpi300
  27        19      0     31  none_sat_filter_none_open_1_dpi300
  28        19      0     31  otsu_lum_only_unsharp_1_03_none_dpi300
  29        18      0     32  none_lum_only_clahe_2_none_dpi300
  30        18      0     32  none_lum_only_clahe_2_close_2_dpi300
  31        18      0     32  none_lum_only_clahe_2_open_1_dpi300
  32        18      1     31  none_blue_only_unsharp_1_03_none_dpi200
  33        18      1     31  none_blue_only_unsharp_1_03_close_2_dpi200
  34        18      1     31  none_blue_only_unsharp_1_03_open_1_dpi200
  35        17      0     33  none_no_filter_clahe_2_none_dpi300
  36        17      0     33  none_no_filter_clahe_2_close_2_dpi300
  37        17      0     33  none_no_filter_clahe_2_open_1_dpi300
  38        16      0     34  otsu_no_filter_unsharp_1_03_none_dpi300
  39        16      3     31  none_lum_only_unsharp_1_03_none_dpi200
  40        16      3     31  none_lum_only_unsharp_1_03_close_2_dpi200
  41        16      3     31  none_lum_only_unsharp_1_03_open_1_dpi200
  42        15      1     34  none_lum_only_none_none_dpi200
  43        15      1     34  none_lum_only_none_close_2_dpi200
  44        15      1     34  none_lum_only_none_open_1_dpi200
  45        15      1     34  none_no_filter_none_none_dpi200
  46        15      1     34  none_no_filter_none_close_2_dpi200
  47        15      1     34  none_no_filter_none_open_1_dpi200
  48        14      0     36  none_sat_filter_clahe_2_none_dpi300
  49        14      0     36  none_sat_filter_clahe_2_close_2_dpi300
  50        14      0     36  none_sat_filter_clahe_2_open_1_dpi300

--- Baseline (none_blue_only_unsharp_1_03_none_dpi150) ---
Recovered: 0, Wrong: 0, Failed: 50

--- Best (none_blue_only_unsharp_1_03_none_dpi300) ---
Recovered: 23 (+23 vs baseline)
Wrong: 0, Failed: 27
